Cluster ID,Score,Name,Gender,DOB,Address,Occupation,Bank Acct
0,0.989,Linda Davis978,F,1988-12-12,"359 Eyre Square, Cork",Manager,IE63BOFI971050
0,0.989,Lnida Davis978,F,1988-12-12,"359 Eyre Square, Cork",Manager,IE63BOFI971050
1,0.945,Thomas Moore858,F,2004-10-28,"612 Oliver Plunkett St, Cork",Civil Servant,IE68BOFI910752
1,0.945,Thomas Mooe858,F,2004-10-28,"194 New Address Rd, Swords",,IE68BOFI910752
2,0.996,Thomas Moore222,M,1975-06-16,"71 Patrick St, Waterford",Builder,
2,0.996,Thomas Moore222,M,1975-06-16,"71 Patrick St, Waterford",,
3,0.99,Patricia Johnson596,F,1960-06-09,"610 Main St, Limerick",Engineer,IE66BOFI959703
3,0.99,Patricia Johnson569,,1960-06-09,"610 Main St, Limerick",,IE66BOFI959703
4,0.982,Linda Gonzalez998,M,1953-03-08,"132 Oak Park, Cork",Admin,IE54BOFI950715
4,0.982,Linda Gonzalez998,M,,"848 New Address Rd, Dundalk",Admin,IE54BOFI950715
5,0.517,Jennifer Martinez474,M,1985-09-09,"390 Grafton St, Drogheda",Builder,IE34BOFI934025
5,0.517,Jennifer Martinez40,M,1980-12-16,"379 High St, Cork",Nurse,IE31BOFI931083
6,0.997,Jennifer Martinez943,F,1998-10-23,"497 Griffith Ave, Dundalk",Admin,IE28BOFI915297
6,0.997,Jennifer Martinez943,F,1998-10-23,"497 Griffith Ave, Dundalk",Admin,IE28BOFI915297
7,0.996,Karen Davis411,M,1968-05-19,"384 Grafton St, Dundalk",Engineer,IE32BOFI994755
7,0.996,Karen Davis411,,1968-05-19,"384 Grafton St, Dundalk",Engineer,IE32BOFI994755
8,0.991,Mary Rodriguez354,M,1991-03-10,"388 Grafton St, Bray",Nurse,IE86BOFI998151
8,0.991,Mar Rodriguez354,M,,"388 Grafton St, Bray",Nurse,IE86BOFI998151
9,0.974,Linda Garcia794,F,1983-04-15,"761 Seaview, Limerick",Student,IE24BOFI932586
9,0.974,Linda Garcia794,,1983-04-15,"489 New Address Rd, Cork",,IE24BOFI932586
10,0.917,Dunnes Holdings,,,"970 Grafton St, Dundalk",,IE59BOFI957048
10,0.917,Dunnes Holdings,,,"936 Seaview, Waterford",,IE64BOFI920114
11,0.986,Spar Holdings,,,"406 Oak Park, Drogheda",,IE13BOFI932892
11,0.986,Spar Holdigs,,,"406 Oak Park, Drogheda",,IE13BOFI932892
12,0.912,Smurfit Kappa Group,,,"716 High St, Drogheda",,IE63BOFI925089
12,0.959,Smurfit Kappa Group,,,"664 Grafton St, Swords",,IE40BOFI967941
12,0.975,Smurfit Kappa Group,,,"956 Patrick St, Swords",,
12,0.92,Surfit Kappa Group,,,"664 Grafton St, Swords",,IE40BOFI967941
13,0.977,David Jackson856,F,1958-02-20,"898 Shop St, Dublin",Manager,IE42BOFI974892
13,0.977,David Jackson856,F,1958-02-20,"83 New Address Rd, Cork",Manager,IE42BOFI974892
14,0.996,Joseph Garcia504,M,1958-10-11,"885 Oak Park, Galway",Sales,
14,0.996,Joseph Garcia504,M,1958-10-11,"885 Oak Park, Galway",Sales,
15,0.979,Barbara Garcia585,F,1968-08-09,"617 O'Connell St, Waterford",Manager,IE82BOFI906287
15,0.979,Barbara Garcia585,F,1968-08-09,"90 New Address Rd, Cork",Manager,IE82BOFI906287
16,0.952,Michael Miller328,M,1971-04-20,"989 Main St, Navan",Accountant,IE11BOFI928752
16,0.952,Michael iMller328,M,1971-04-20,"786 New Address Rd, Cork",Accountant,IE11BOFI928752
17,0.996,Thomas Johnson925,F,1950-11-07,"700 Main St, Dublin",Technician,
17,0.996,Thomas Johnson925,F,1950-11-07,"700 Main St, Dublin",Technician,
18,0.997,Thomas Johnson248,M,1973-08-22,"699 High St, Bray",Doctor,IE95BOFI914801
18,0.997,Thomas Johnson248,M,1973-08-22,"699 High St, Bray",Doctor,IE95BOFI914801
19,0.986,Linda Johnson446,F,1984-03-03,"262 Seaview, Dublin",Accountant,IE35BOFI915795
19,0.964,Linda Johnson446,F,1984-03-03,"726 New Address Rd, Limerick",Accountant,IE35BOFI915795
19,0.966,Linda oJhnson446,F,1984-03-03,"262 Seaview, Dublin",Accountant,IE35BOFI915795
20,0.995,Tesco PLC,,,"952 Main St, Limerick",,IE66BOFI919149
20,0.995,Tesco PLC,,,"952 Main St, Limerick",,IE66BOFI919149
21,0.996,John Davis357,M,1965-08-06,"627 Church Rd, Waterford",Civil Servant,
21,0.996,John Davis357,M,1965-08-06,"627 Church Rd, Waterford",Civil Servant,
22,0.805,Kerry Group Ltd,,,"413 Dame St, Dundalk",,IE81BOFI960591
22,0.723,Kerry Group Group,,,"613 O'Connell St, Cork",,IE84BOFI903308
22,0.757,Kerry Group Ireland,,,"740 Dame St, Bray",,IE93BOFI993867
23,0.941,Joseph Davis416,M,1978-05-18,"926 Griffith Ave, Bray",IT Consultant,IE26BOFI924262
23,0.941,Joesph Davis416,M,1978-05-18,"941 New Address Rd, Limerick",IT Consultant,IE26BOFI924262
24,0.981,Elizabeth Miller141,M,2005-12-21,"815 Grafton St, Navan",Technician,IE70BOFI902628
24,0.981,Elizabeth Miller141,M,2005-12-21,"460 New Address Rd, Drogheda",Technician,IE70BOFI902628
25,0.996,Jessica Davis25,F,1988-07-26,"168 Church Rd, Dundalk",Director,IE61BOFI948508
25,0.996,Jessica Davis25,F,,"168 Church Rd, Dundalk",Director,IE61BOFI948508
26,0.996,Thomas Garcia283,F,1965-06-18,"153 Dame St, Dublin",Technician,
26,0.996,Thomas Garcia283,F,1965-06-18,"153 Dame St, Dublin",Technician,
27,0.983,Thomas Smith694,M,1958-06-07,"324 Oliver Plunkett St, Swords",Sales,IE75BOFI991351
27,0.983,Thomas Smith694,,,"939 New Address Rd, Swords",Sales,IE75BOFI991351
28,0.991,David Anderson660,M,1990-07-13,"60 Oliver Plunkett St, Swords",Nurse,IE67BOFI901558
