Cluster ID,Score,Name,Gender,DOB,Address,Occupation,Bank Acct
0,0.988,Joseph Anderson,F,2000-09-10,"488 Grafton St, Swords",Civil Servant,IE55BOFI921007
0,0.988,JosephAnderson,F,2000-09-10,"775 New Address Rd, Drogheda",,IE55BOFI921007
1,0.941,Bank of Ireland Holdings,,,"237 Dame St, Dublin",,IE54BOFI919815
1,0.941,Bank of Ireland Holdings,,,"416 O'Connell St, Limerick",,
2,0.994,Linda Thomas,M,1991-01-11,"809 Griffith Ave, Galway",Doctor,IE17BOFI929287
2,0.994,Linda Thmas,M,1991-01-11,"809 Griffith Ave, Galway",,IE17BOFI929287
3,0.859,Mary Garcia,F,1970-04-22,"848 Oliver Plunkett St, Drogheda",Retiree,
3,0.859,Mary Garcia,F,1951-07-22,"412 Patrick St, Dundalk",Engineer,IE13BOFI960266
4,0.804,Patricia Martin,M,1954-05-09,"502 Grafton St, Waterford",Student,IE13BOFI948015
4,0.804,Patricia Martin,M,1988-01-24,"294 Shop St, Swords",Student,
5,0.998,Smurfit Kappa Group,,,"534 Henry St, Bray",,IE66BOFI922902
5,0.998,Smurfit Kappa Group,,,"585 New Address Rd, Navan",,IE66BOFI922902
6,0.893,Bank of Ireland Services,,,"881 O'Connell St, Bray",,
6,0.85,Bank of Ireland Ltd,,,"116 O'Connell St, Bray",,IE67BOFI985501
6,0.893,Bank of Ireland Services,,,"881 O'Connell St, Bray",,
7,0.831,Richard Smith,F,1969-09-04,"313 Grafton St, Galway",Manager,
7,0.714,Richard Smith,F,1950-09-26,"308 Dame St, Galway",Driver,IE35BOFI982002
7,0.772,Richard Smith,F,1969-03-18,"364 Eyre Square, Galway",IT Consultant,IE32BOFI952662
7,0.831,Richard Smith,F,1969-09-04,"313 Grafton St, Galway",Manager,
8,1.0,Michael Smith,M,1993-06-10,"235 Henry St, Galway",IT Consultant,IE48BOFI988240
8,1.0,Michael Smith,M,1993-06-10,"622 New Address Rd, Navan",IT Consultant,IE48BOFI988240
9,1.0,Robert Lopez,F,1962-07-12,"715 Dame St, Cork",Technician,IE98BOFI950204
9,1.0,Robert Lopez,F,1962-07-12,"367 New Address Rd, Cork",Technician,IE98BOFI950204
10,0.773,Richard Anderson,F,1953-07-31,"637 Dame St, Bray",Accountant,IE15BOFI999746
10,0.773,Richard Anderson,F,1963-08-07,"357 Shop St, Dundalk",Doctor,
11,0.757,Michael Miller,F,1991-02-11,"628 Eyre Square, Bray",Retiree,IE60BOFI975109
11,0.517,Michael Miller,F,1979-12-21,"106 Dame St, Dublin",Nurse,
11,0.582,Michael Miller,F,1991-02-11,"628 Eyre Square, Bray",,IE60BOFI975109
12,1.0,Jennifer Thomas,M,1970-08-16,"424 Dame St, Galway",Civil Servant,IE93BOFI936701
12,1.0,Jennifer Thomas,M,1970-08-16,"424 Dame St, Galway",Civil Servant,IE93BOFI936701
13,0.651,Karen Brown,F,1953-07-06,"41 O'Connell St, Swords",Doctor,
13,0.651,Karen Brown,F,1968-07-25,"803 Shop St, Bray",Builder,IE26BOFI988264
14,0.997,Michael Johnson,M,1994-08-20,"410 Patrick St, Dublin",Technician,IE95BOFI907605
14,0.997,Michael Johnson,M,1994-08-20,"818 New Address Rd, Limerick",,IE95BOFI907605
15,0.999,Patricia Wilson,M,1958-06-18,"215 Main St, Cork",Doctor,IE72BOFI901873
15,0.999,Patricia Wilson,M,1958-06-18,"215 Main St, Cork",,IE72BOFI901873
16,0.984,James Rodriguez,M,1980-12-05,"975 Oak Park, Waterford",Student,
16,0.984,James Rodriugez,M,1980-12-05,"975 Oak Park, Waterford",Student,
17,1.0,Richard Garcia,F,1985-07-14,"177 Dame St, Waterford",Accountant,IE19BOFI951236
17,1.0,Richard Garcia,F,1985-07-14,"177 Dame St, Waterford",Accountant,IE19BOFI951236
18,1.0,Jennifer Moore,M,1997-08-19,"912 Main St, Dundalk",Doctor,IE84BOFI970775
18,1.0,Jennifer Moore,M,1997-08-19,"912 Main St, Dundalk",Doctor,IE84BOFI970775
19,0.938,Dunnes Group,,,"131 Eyre Square, Dundalk",,IE97BOFI979057
19,0.938,Dunnes Group,,,"948 Grafton St, Cork",,
20,0.997,Jessica Rodriguez,F,1987-04-09,"65 Grafton St, Swords",Manager,
20,0.997,Jessica Rodriguez,F,1987-04-09,"65 Grafton St, Swords",Manager,
21,0.977,Sarah Thomas,M,1993-12-30,"493 O'Connell St, Dundalk",Doctor,IE86BOFI945538
21,0.977,Sarha Thomas,M,1993-12-30,"522 New Address Rd, Limerick",,IE86BOFI945538
22,0.977,Linda Miller,M,1953-07-02,"885 High St, Waterford",Student,IE58BOFI917380
22,0.977,Linda Milelr,M,1953-07-02,"895 New Address Rd, Cork",,IE58BOFI917380
23,0.999,Jennifer Rodriguez,F,1991-11-09,"454 Main St, Drogheda",Doctor,IE94BOFI950770
23,0.999,Jennifer Rodriguez,F,,"454 Main St, Drogheda",,IE94BOFI950770
24,0.777,Linda Wilson,F,1976-08-19,"609 Main St, Bray",Retiree,IE44BOFI958841
24,0.777,Linda Wilson,F,1972-07-02,"740 Main St, Drogheda",Manager,IE44BOFI928626
25,0.999,Mary Gonzalez,M,1980-03-29,"291 Grafton St, Dublin",Admin,IE93BOFI982313
25,0.999,Mary Gonzlez,M,1980-03-29,"291 Grafton St, Dublin",Admin,IE93BOFI982313
26,1.0,Linda Rodriguez,F,1997-12-14,"573 Oak Park, Dublin",Retiree,IE99BOFI985654
26,1.0,Linda Rodriguez,,,"573 Oak Park, Dublin",Retiree,IE99BOFI985654
27,0.603,Karen Smith,M,1983-06-01,"414 High St, Galway",Farmer,IE44BOFI995982
27,0.603,Karen Smith,M,1982-07-12,"224 O'Connell St, Galway",Manager,IE15BOFI998742
28,0.999,Linda Smith,M,1998-04-01,"447 Oliver Plunkett St, Galway",Driver,IE93BOFI913782
28,0.995,Lnida Smith,M,1998-04-01,"447 Oliver Plunkett St, Galway",Driver,IE93BOFI913782
28,0.995,Linda Smth,M,1998-04-01,"447 Oliver Plunkett St, Galway",Driver,IE93BOFI913782
29,1.0,Sarah Jones,F,1996-10-25,"950 Griffith Ave, Dundalk",Builder,IE40BOFI933541
29,1.0,Sarah Jones,F,1996-10-25,"66 New Address Rd, Drogheda",Builder,IE40BOFI933541
30,0.756,Jessica Miller,F,1955-12-21,"755 High St, Dundalk",Accountant,IE72BOFI943049
30,0.654,Jessica Miller,F,1955-05-17,"965 Church Rd, Limerick",Engineer,
30,0.756,Jessica Miller,F,1955-12-21,"755 High St, Dundalk",Accountant,IE72BOFI943049
31,1.0,William Rodriguez,F,1951-01-13,"961 High St, Dublin",Director,IE89BOFI957364
31,1.0,William Rodriguez,F,1951-01-13,"961 High St, Dublin",Director,IE89BOFI957364
32,0.997,Karen Jackson,F,1981-09-06,"922 Dame St, Dundalk",Student,
32,0.997,Karen Jackson,F,1981-09-06,"922 Dame St, Dundalk",Student,
33,1.0,Joseph Gonzalez,M,1992-10-10,"954 Dame St, Galway",Student,IE54BOFI916588
33,1.0,Joseph Gonzalez,M,1992-10-10,"954 Dame St, Galway",Student,IE54BOFI916588
34,0.85,Jennifer Martinez,M,1967-02-02,"221 Church Rd, Dublin",Manager,
34,0.788,Jennifer Martinez,M,1962-02-28,"791 O'Connell St, Limerick",Driver,IE61BOFI911391
34,0.85,Jennifer Martinez,M,1967-02-02,"221 Church Rd, Dublin",Manager,
35,1.0,Lisa Garcia,F,2000-04-02,"300 Henry St, Cork",Technician,IE11BOFI990171
35,1.0,Lisa Garcia,F,2000-04-02,"300 Henry St, Cork",Technician,IE11BOFI990171
36,0.923,Patricia Garcia,M,1967-09-07,"198 Main St, Galway",Manager,
36,0.923,Patricia Garcia,M,1964-06-07,"155 Dame St, Dublin",Farmer,IE26BOFI925564
37,0.999,Thomas Moore,M,1965-10-03,"153 High St, Dundalk",Director,IE19BOFI961230
37,0.999,ThomasMoore,M,1965-10-03,"153 High St, Dundalk",Director,IE19BOFI961230
38,0.732,Patricia Rodriguez,F,1951-04-24,"519 High St, Galway",Doctor,
38,0.732,Patricia Rodriguez,F,1985-04-11,"155 Seaview, Galway",Farmer,IE74BOFI923688
39,0.999,Elizabeth Moore,F,1952-06-25,"223 Oak Park, Galway",IT Consultant,IE23BOFI987846
39,0.999,Elizabeth Moore,F,1952-06-25,"223 Oak Park, Galway",,IE23BOFI987846
40,1.0,Elizabeth Hernandez,M,1983-09-04,"514 Griffith Ave, Waterford",IT Consultant,IE73BOFI941082
40,1.0,Elizabth Hernandez,M,1983-09-04,"514 Griffith Ave, Waterford",IT Consultant,IE73BOFI941082
41,0.987,Jennifer Anderson,F,2003-11-15,"232 Henry St, Limerick",Nurse,
41,0.987,Jeninfer Anderson,F,,"232 Henry St, Limerick",Nurse,
42,0.999,Linda Lopez,M,1968-11-10,"500 Henry St, Limerick",Engineer,IE53BOFI946200
42,0.999,LindaLopez,M,1968-11-10,"500 Henry St, Limerick",Engineer,IE53BOFI946200
43,0.999,Michael Brown,F,1969-09-07,"679 High St, Galway",Student,IE25BOFI982294
43,0.999,Michael Brwon,F,1969-09-07,"679 High St, Galway",Student,IE25BOFI982294
44,0.999,Jessica Martin,M,1997-06-03,"726 Dame St, Cork",Farmer,IE94BOFI940643
44,0.998,Jessica Mratin,M,,"938 New Address Rd, Drogheda",Farmer,IE94BOFI940643
44,0.999,Jessica Martin,M,1997-06-03,"726 Dame St, Cork",Farmer,IE94BOFI940643
45,0.516,Patricia Lopez,M,1999-06-11,"429 Griffith Ave, Galway",Retiree,IE79BOFI943521
45,0.788,Patricia Lopez,M,1994-03-26,"847 High St, Waterford",Nurse,
45,0.554,Patricia oLpez,M,1994-03-26,"847 High St, Waterford",Nurse,
45,0.904,Patricia Lopez,M,,"429 Griffith Ave, Galway",Retiree,IE79BOFI943521
46,0.852,Jennifer Jackson,M,1992-08-22,"266 High St, Galway",Engineer,
46,0.852,Jennifer Jackson,M,1992-02-06,"702 Church Rd, Galway",Nurse,
47,0.557,William Garcia,F,1963-12-17,"896 Patrick St, Bray",Builder,
47,0.69,William Garcia,F,1991-10-06,"110 High St, Limerick",Technician,
47,0.753,William Garcia,F,1980-12-06,"813 Oak Park, Navan",IT Consultant,
47,0.69,William Garcia,F,1991-10-06,"110 High St, Limerick",Technician,
48,0.658,Elizabeth Anderson,M,1991-10-16,"645 O'Connell St, Galway",Admin,IE59BOFI955480
48,0.658,Elizabeth Anderson,M,1963-12-11,"204 High St, Swords",Student,
49,0.711,Barbara Davis,F,1953-01-03,"94 Patrick St, Limerick",Admin,
49,0.591,Barbara Davis,F,1980-06-27,"513 Oak Park, Swords",Civil Servant,IE84BOFI902852
49,0.711,Barbara Davis,F,1953-01-03,"94 Patrick St, Limerick",Admin,
50,0.81,Michael Martin,F,1967-06-16,"128 Oliver Plunkett St, Cork",Engineer,
50,0.81,Michael Martin,F,1965-06-21,"915 Dame St, Navan",IT Consultant,IE44BOFI904680
51,0.959,Smurfit Kappa Ltd,,,"949 O'Connell St, Limerick",,IE72BOFI921038
51,0.959,Smurfit Kappa Ltd,,,"679 Shop St, Limerick",,
52,1.0,Jennifer Thomas,M,1961-08-12,"56 Oliver Plunkett St, Dundalk",Accountant,IE78BOFI980554
52,1.0,Jennifer Thomas,M,1961-08-12,"56 Oliver Plunkett St, Dundalk",Accountant,IE78BOFI980554
53,0.987,Sarah Williams,M,1981-01-01,"280 Main St, Dundalk",Farmer,IE57BOFI913992
53,0.981,Sarah iWlliams,M,1981-01-01,"153 New Address Rd, Bray",,IE57BOFI913992
53,0.987,Sarah Williams,M,1981-01-01,"280 Main St, Dundalk",,IE57BOFI913992
54,0.635,Elizabeth Martinez,F,1951-11-07,"839 Henry St, Waterford",Student,IE19BOFI925415
54,0.635,Elizabeth Martinez,F,2001-03-27,"954 Grafton St, Navan",Student,
55,1.0,David Rodriguez,M,1951-12-24,"878 Grafton St, Drogheda",Director,IE99BOFI942846
55,0.999,David Rodrigeuz,M,,"878 Grafton St, Drogheda",Director,IE99BOFI942846
55,0.999,aDvid Rodriguez,,1951-12-24,"878 Grafton St, Drogheda",Director,IE99BOFI942846
56,1.0,Michael Wilson,M,1995-12-02,"335 Eyre Square, Navan",Student,IE27BOFI910629
56,1.0,Michael Wilson,,1995-12-02,"335 Eyre Square, Navan",Student,IE27BOFI910629
57,0.55,Smurfit Kappa Limited,,,"235 Dame St, Bray",,IE91BOFI935975
57,0.55,Smurfit Kappa Limited,,,"605 Church Rd, Dublin",,IE89BOFI921886
58,1.0,David Jackson,M,2001-10-05,"961 High St, Limerick",Technician,IE68BOFI956080
58,1.0,David Jackson,,2001-10-05,"812 New Address Rd, Navan",Technician,IE68BOFI956080
59,0.608,Patricia Jackson,F,1956-07-23,"536 Henry St, Galway",Retiree,
59,0.722,Patricia Jackson,F,1989-06-18,"695 Seaview, Bray",Engineer,IE46BOFI939491
59,0.722,Patricia Jackson,F,1989-06-18,"695 Seaview, Bray",Engineer,IE46BOFI939491
60,0.501,Robert Moore,F,1952-05-29,"620 Church Rd, Navan",Manager,IE52BOFI919499
60,0.501,Robert Moore,F,1954-02-01,"911 Seaview, Dundalk",Manager,IE12BOFI940585
61,1.0,Joseph Jones,F,1962-01-12,"219 High St, Drogheda",Nurse,IE43BOFI940026
61,1.0,Joseph Jones,F,1962-01-12,"219 High St, Drogheda",Nurse,IE43BOFI940026
62,0.999,William Jones,F,1955-04-10,"45 Grafton St, Cork",Doctor,IE92BOFI920061
62,0.999,William Jones,F,1955-04-10,"45 Grafton St, Cork",,IE92BOFI920061
63,1.0,Jessica Wilson,F,1974-08-19,"756 O'Connell St, Galway",Sales,IE35BOFI945098
63,1.0,Jessica Wilson,F,1974-08-19,"43 New Address Rd, Limerick",Sales,IE35BOFI945098
64,0.584,Patricia Taylor,F,1984-03-21,"636 Griffith Ave, Galway",Doctor,IE91BOFI909342
64,0.584,Patricia Taylor,F,1951-01-11,"425 High St, Bray",IT Consultant,IE91BOFI956833
65,1.0,Susan Rodriguez,M,1995-11-14,"460 Shop St, Waterford",Manager,IE86BOFI985369
65,1.0,Susan Rodriguez,M,1995-11-14,"378 New Address Rd, Waterford",Manager,IE86BOFI985369
66,0.999,Elizabeth Rodriguez,M,1985-01-03,"196 Henry St, Bray",Sales,IE30BOFI942788
66,0.999,Eizabeth Rodriguez,M,1985-01-03,"14 New Address Rd, Waterford",Sales,IE30BOFI942788
67,0.577,Richard Wilson,M,1981-11-17,"167 Dame St, Waterford",Nurse,IE93BOFI992629
67,0.577,Richard Wilson,M,1968-11-03,"126 O'Connell St, Drogheda",Nurse,IE77BOFI998562
68,1.0,William Anderson,F,1987-07-01,"188 Dame St, Drogheda",Retiree,IE77BOFI996747
68,1.0,William Anderson,F,1987-07-01,"188 Dame St, Drogheda",Retiree,IE77BOFI996747
69,0.989,David Wilson,M,1985-03-13,"987 Griffith Ave, Swords",Farmer,
69,0.989,David Wilsn,M,1985-03-13,"987 Griffith Ave, Swords",Farmer,
70,0.756,Kingspan Ireland,,,"80 Patrick St, Bray",,IE33BOFI934695
70,0.756,Kingspan Ireland,,,"528 Seaview, Bray",,IE60BOFI931461
71,0.991,Mary Smith,M,1965-09-30,"533 O'Connell St, Bray",Doctor,IE44BOFI956870
71,0.991,MarySmith,M,1965-09-30,"533 O'Connell St, Bray",,IE44BOFI956870
72,0.675,Susan Smith,F,1963-12-23,"27 Main St, Bray",Manager,IE96BOFI926482
72,0.675,Susan Smith,F,1979-10-28,"191 Oak Park, Drogheda",Engineer,
73,1.0,Barbara Taylor,M,2001-03-06,"487 Dame St, Swords",Student,IE88BOFI903192
73,1.0,Barbara Taylor,M,2001-03-06,"487 Dame St, Swords",Student,IE88BOFI903192
74,1.0,Richard Brown,M,1999-12-06,"115 Seaview, Cork",Civil Servant,IE94BOFI932086
